Calculation of Software Quality Metrics for system: smallsql
Duplication calculation
Method: |java+method:///smallsql/database/ExpressionFunctionCot/getDouble()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Join/createJoinScrollIndex()|, loc 19, cc: 5, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestOrderBy/testOrderBy_varchar_desc()|, loc 21, cc: 4, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/RowSource/absolute(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionReturnString/getBoolean()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getUnicodeStream(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunction/createUnspportedConversion(int)|, loc 7, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/MemoryResult/updateRow(smallsql.database.Expression%5B%5D)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/supportsSubqueriesInIns()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StoreImpl/readBytes(int)|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/language/Language/getEntries()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StorePageMap/transfer(smallsql.database.StorePageMap.Entry%5B%5D)|, loc 23, cc: 6, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SQLParser/createTable()|, loc 55, cc: 13, cc rank: moderate, unit size: high
Method: |java+method:///smallsql/database/SSPreparedStatement/setAsciiStream(int,java.io.InputStream,int)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/supportsSubqueriesInExists()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/IndexNode/getChildNodes()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/getURL(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/MemoryResult/getRowCount()|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getNumeric()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Table/getInserts(smallsql.database.SSConnection)|, loc 18, cc: 5, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Strings/toArray()|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SortedResult/first()|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+constructor:///smallsql/database/ExpressionName/ExpressionName(java.lang.String)|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StoreImpl/writeLong(long)|, loc 11, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSConnection/setAutoCommit(boolean)|, loc 6, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Money/toBigDecimal()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getShort(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionName/getString()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StoreImpl/writeBoolean(boolean)|, loc 4, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSetMetaData/isWrapperFor(java.lang.Class)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Utils/long2int(long)|, loc 6, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestJoins/tearDown()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/DataSource/isExpressionsFromThisRowSource(smallsql.database.Expressions)|, loc 9, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/MemoryStream/verifyFreePufferSize(int)|, loc 9, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/getDate(int,java.util.Calendar)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionMod/getFunction()|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/unwrap(java.lang.Class)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionSoundex/getFunction()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SmallSQLException/create(java.lang.String,java.lang.Object%5B%5D)|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/BenchTest/test_UpdateLargeBinaryWithSP(java.sql.Connection)|, loc 32, cc: 3, cc rank: simple, unit size: moderate
Method: |java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getObject()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionArithmetic/getDataType(int,int)|, loc 6, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Where/next()|, loc 7, cc: 5, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestMoneyRounding/setUp()|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionChar/getPrecision()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestAlterTable2/testWithPrimaryKey()|, loc 9, cc: 1, cc rank: simple, unit size: simple
Method: |java+constructor:///smallsql/database/MutableNumeric/MutableNumeric(java.lang.String)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestDBMetaData/testGetgetUDTs()|, loc 8, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Money/equals(java.lang.Object)|, loc 2, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SQLParser/insert()|, loc 39, cc: 9, cc rank: simple, unit size: moderate
Method: |java+method:///smallsql/database/MemoryResult/getBytes(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSConnection/createArrayOf(java.lang.String,java.lang.Object%5B%5D)|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/BenchTest/test_DeleteAll(java.sql.Connection)|, loc 17, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestDBMetaData/testGetTypeInfo()|, loc 14, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/CommandCreateView/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Expressions/indexOf(smallsql.database.Expression)|, loc 11, cc: 6, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/MemoryResult/isLast()|, loc 2, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Expression/getLong()|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/getByte(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getFetchDirection()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+constructor:///smallsql/database/SSPreparedStatement/SSPreparedStatement(smallsql.database.SSConnection,java.lang.String)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSConnection/isWrapperFor(java.lang.Class)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/TableViewResult/createResult(smallsql.database.TableView)|, loc 4, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Index/removeValue(long,smallsql.database.Expressions)|, loc 17, cc: 5, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Expression/getAlias()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/registerOutParameter(java.lang.String,int,java.lang.String)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SQLParser/nextToken(int%5B%5D)|, loc 19, cc: 9, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSPreparedStatement/setObject(int,java.lang.Object,int)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Where/noRow()|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Database/getColumns(smallsql.database.SSConnection,java.lang.String,java.lang.String)|, loc 32, cc: 6, cc rank: simple, unit size: moderate
Method: |java+method:///smallsql/database/ExpressionValue/getDouble()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getFloat(int)|, loc 8, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/IndexScrollStatus/reset()|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/supportsColumnAliasing()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/isReadOnly()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/updateBytes(int,byte%5B%5D)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionFunctionReturnP1StringAndBinary/getBoolean()|, loc 3, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSConnection/prepareStatement(java.lang.String,int)|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionValue/getString()|, loc 7, cc: 4, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Money/doubleValue()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ColumnExpression/isCaseSensitive()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestStatement/testGetConnection()|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ViewResult/isAfterLast()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSPreparedStatement/setURL(int,java.net.URL)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestTransactions/testInsertRow_Last(java.sql.Connection,boolean)|, loc 25, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/TableResult/execute()|, loc 6, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/DataSource/getDataType(int)|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/CommandSelect/next()|, loc 7, cc: 3, cc rank: simple, unit size: simple
